festival_id,theme_id,festival_place,festival_start_dte,festival_end_date,festival_content,festival_phonenum,festival_site,festival_road_name_addr,festival_lotnum_addr,festival_lat,festival_long
전주대사습놀이,-,국립무형유산원 및 전주한옥마을 일원,2022-05-14,2022-05-30,국악경연+ 전야제,063-288-0771,http://www.jjdss.or.kr,전라북도 전주시 덕진구 권삼득로 400,전라북도 전주시 덕진구 덕진동2가 184-1,35.84915665,127.1196082
인천산사음악회,-,호불사+수미정사,2022-05-15,2022-10-30,힐링음악회,,,인천광역시 연수구 옥련동 348-196+ 인천 미추홀구 매소홀로561번길 26-93,,,
의정부시 청소년 진로페스티벌,-,의정부시청소년수련관,2022-05-16,2022-05-20,직업인+ 학과 소개 및 E-sports 대회 셀프 뷰티등,031-828-9557,http://www.youthexpo.or.kr,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
황룡강 (洪)길동무 꽃길 축제,-,황룡강변 일원+홍길동테마파크,2022-05-20,2022-05-22,공연+체험+판매행사 등,061-390-7242,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_02,,전라남도 장성군 장성읍 기산리 461-1,35.30951048,126.7815062
삼척장미축제,-,삼척장미공원일원,2022-05-20,2022-07-24,야간경관조명 및 포토존 조성 등,033-570-3071,,강원도 삼척시 오십천로 536,강원도 삼척시 정상동 232,37.43501045,129.1752024
장미꽃 필(feel)무렵,-,이곡장미공원,2022-05-20,2022-05-22,언택트(비대면) 로즈 in 달서버스킹(유튜브 공개)+로즈 포토존 인증샷 이벤트,053-584-9771,http://www.dscf.or.kr,대구광역시 달서구 선원남로 129,대구광역시 달서구 이곡동 1306-6,35.85741363,128.514463
2022년 제18회 해운대모래축제,-,해운대 해수욕장,2022-05-20,2022-05-23,모래작품 전시 및 체험프로그램+ 플라워카펫 등,051-749-4062,,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 중동 1415-49,35.15910698,129.1602838
제34회 고양행주문화제,-,행주산성 및 행주산성 역사공원,2022-05-20,2022-05-21,행주투석전+ 뮤지컬행주대첩+ 수상불꽃놀이+ 행주국수대첩+ 전통놀이한마당 및 시민참여프로그램 등,031-960-9684,http://www.hjfestival.or.kr,경기도 고양시 덕양구 행주로 15번길 89,경기도 고양시 덕양구 행주내동 산26-1,37.59610775,126.8287118
곡성세계장미축제,-,섬진강기차마을,2022-05-21,2022-06-06,세계 유명 장미로 이뤄진 공원에서 행사+ 공연+ 이벤트 개최,061-360-8471,www.gokseong.go.kr,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,,
부활절 시민문화축제,-,송도센트럴파크 UN광장,2022-05-21,2022-05-21,부활축화음악공연+사랑나눔행사,,,인천광역시 연수구 컨벤시아대로 160,,,
의정부시 청소년 행복주간  [명사특강 ],-,의정부시청소년수련관,2022-05-21,2022-05-21,권용실교수 자녀와 함께 행복해 지는 방법,031-828-9562,http://www.uiyouth.or.kr,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
청소년 행복 주간 및 청소년의 날,-,의정부시청소년수련관,2022-05-23,2022-05-28,상시 체험프로그램+ 마을축제+ 다양한 청소년 할인혜택 제공 등,031-820-9515,http://www.uiyouth.or.kr,경기도 의정부시 의정로27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
청소년 행복주간 지역마을축제(동부권역),-,부용천(동오역~새말교),2022-05-24,2022-05-24,청소년 유관기관 부스 및 체험 프로그램 운영,031-828-9583,http://www.uiyouth.or.kr,경기도 의정부시 장곡로 551,경기도 의정부시 신곡동 815-1,37.7488377,127.0637621
용수골꽃양귀비축제,-,용수골꽃농장,2022-05-25,2022-06-12,꽃밭관람+ 포토존 이용+ 기념품 판매 등,033-764-4443,,,강원도 원주시 판부면 서곡리  1632-2,37.28472862,127.9404942
의정부시 청소년 행복주간  [가족뮤지컬 ],-,의정부시청소년수련관,2022-05-25,2022-05-25,가족뮤지컬- 사람은 무엇으로 사는가?,031-828-9562,http://www.uiyouth.or.kr,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
청소년 행복주간 지역마을축제,-,의정부예총,2022-05-26,2022-05-26,청소년 체험부스+ 청소년 공연,031-828-9593,http://www.uiyouth.or.kr,경기도 의정부시 의정로80번길 18,경기도 의정부시 의정부동 477-1,37.73969683,127.0358325
휴애리 여름수국 축제,-,휴애리자연생활공원,2022-05-27,2022-07-20,휴애리 여름 수국축제는 정성스럽게 키운 다양한 수국을 온실. 수국정원. 수국오름 등 공원 곳곳에서 감상할 수 있어 제주도민과 관광객에게 인기가 좋은 제주 대표 축제다.,064-732-2114,http://hueree.com,제주특별자치도 서귀포시 남원읍 신례동로 256,,,
청소년안전망 페스티발,-,의정부시 행복로,2022-05-27,2022-05-27,기념식+ 문화공연+ 부스운영+ 체험 전시,031-828-9563,http://www.uiyouth.or.kr,경기도 의정부시 시민로 지하 100,경기도 의정부시 의정부동 99-6,37.73924561,127.0475838
청소년이 빛나는 밤,-,의정부시 천보문화공원,2022-05-27,2022-05-27,청소년 버스킹+ 소통이벤트+ 친환경음료부스,031-828-9585,http://www.uiyouth.or.kr,경기도 의정부시 새말로 38,경기도 의정부시 금오동 469-1,37.75107491,127.0643941
2022 양산 월드 힙합 어벤져스,-,황산공원,2022-05-27,2022-05-29,개막식+ 축하공연+ 힙합댄스 경연대회+ DJ/EDM파티 등,055-392-2544,,경상남도 양산시 물금읍 낙동로 295-9,경상남도 양산시 물금읍 물금리 172-2,35.30173083,128.9895949
마토예술제<캐리커처 투어파티>,-,안정리예술인광장 일대,2022-05-28,2022-05-28,캐리커처 테마 체험+공연+전시,031-692-9110,https://www.pccf.or.kr/,경기도 평택시 팽성읍 안정쇼핑로11,경기도 평택시 팽성읍 안정리113-1,36.95955991,127.0439994
청소년 Party,-,의정부시청소년수련관,2022-05-28,2022-05-28,전문공연팀 축하공연+ 청소년 동아리 공연 등,031-828-9545,http://www.uiyouth.or.kr,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
소백산철쭉제,-,영주시 소백산 일원,2022-05-28,2022-05-29,소백산 산신제+죽령옛길걷기+소백산 철쭉 등반대회 등 소백산 철쭉 홍조,054-630-8707,http://yjsobaek.yctf.or.kr/,,경상북도 영주시 풍기읍 수철리 산 86-1,36.91240318,128.4706212
강릉단오제,-,강릉시 남대천 단오장 및 지정행사장,2022-05-30,2022-06-06,문화재행사+ 단오TV+ 전시+ 시민참여행사+ 단오유스페스티벌+ 온라인 챌린지 행사 등,033-641-1593,http://www.danojefestival.or.kr,강원도 강릉시 단오장길 1 (노암동),강원도 강릉시 노암동 722-2,37.74820212,128.8950714
저전동 상가골목축제,-,저전동 일방통행로(남교오거리~순천여고),2022-06-01,2022-06-30,상가 골목축제 운영,061-749-3471,,전라남도 순천시 저전길 54,,,
2022 찾아가는 음악회,-,구미시,2022-06-01,2022-11-30,찾아가는 소규모공연,054-451-4422,http://www.gumiart.net/,경상북도 구미시 금오산로 218,경상북도 구미시 남통동 414-17,36.11997866,128.3209145
구문소용축제,-,구문소용축제장,2022-06-01,2022-06-30,용신제 등 전통공연 및 체험프로그램,033-550-3895,http://tbcf.or.kr/,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172
제9회 낙동강 구포나루 축제(2022년 하반기 예정),-,화명생태공원 선착장 일원,2022-06-01,2022-12-31,밀사리체험/바비큐체험/구포국수체험 등,051-309-4522,http://www.guponarufes.co.kr,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968
제10회 무주산골영화제,-,무주등나무운동장+무주산골영화관+덕유산국립공원,2022-06-02,2022-06-06,영화상영+공연,063-320-2541,http://www.mjff.or.kr/,전라북도 무주군 무주읍 한풍루로 326-14,전라북도 무주군 무주읍 당산리 1118,36.00262216,127.6614905
단양소백산철쭉제,-,상상의거리 일원,2022-06-02,2022-06-05,소백산 철쭉을 소재로 한 축제,043-420-2552,https://www.danyang.go.kr/sobaeksan/650,충청북도 단양군 단양읍 중앙1로 32,충청북도 단양군 단양읍 별곡리 315,36.98555614,128.368244
법성포단오제,-,법성포,2022-06-02,2022-06-05,문화축제,061-356-4331,http://bspdanoje.co.kr,전라남도 영광군 법성면 진굴비길 154-13,전라남도 영광군 법성면 진내리 642-10,35.36265187,126.4359383
민속그네뛰기,-,사동 자생식물원,2022-06-03,2022-06-03,그네뛰기,054-790-6426,http://www.ulleung.go.kr/tour/page.htm?mnu_uid=1989&,경상북도 울릉군 울릉읍 간령길 83-18,,37.46024044,130.8735494
2022 울산 마두희 축제,-,울산 중구 성남동 일원,2022-06-03,2022-06-05,큰줄다리기+부대행사,052-290-3662,,울산광역시 중구 시계탑거리 4,,,
경산자인단오제,-,경산시 자인면 계정숲,2022-06-03,2022-06-05,무형문화재 공연 및 각종 체험부대행사,053-856-5765,jaindano.or.kr,경상북도 경산시 자인면 계정길 68,경상북도 경산시 자인면 서부리 70,,
한라산 철쭉 등산대회 & 한라산 철쭉제,-,한라산 어리목광장 및 돈내코 충혼묘지주차장,2022-06-05,2022-06-05,제16회 전국 한라산 철쭉 등산대회,064-759-0848,https://jeju.kaf.or.kr/,제주특별자치도 서귀포시 돈내코로 137,,,
땅끝수국축제,-,포레스트수목원,2022-06-06,2022-07-18,100여희귀품종+수국사진공모전 등,061-533-7220,www.4est수목원.com,전라남도 해남군 현산면 봉동길 232-118,전라남도 해남군 현산면 황산리 산1-39,34.45321139,126.5955
사려니숲 에코힐링 체험,-,사려니숲,2022-06-09,2022-06-12,개막식 공연/ 인증샷 이벤트 기념품증정/ 숲속힐링명상프로그램 1일 2회,064-750-2291,https://www.facebook.com/saryeoni/,제주특별자치도 서귀포시 표선면 남조로 1487-73,,,
흥얼콘서트 국악을 품다,-,구미시,2022-06-09,2022-06-09,퓨전국악공연,054-453-3333,http://www.imaeil.com,경상북도 구미시 송정대로 95,경상북도 구미시 송정동 76번지,,
제17회 남해 마늘·한우 축제,-,남해유배문학관,2022-06-10,2022-06-12,남해 마늘 한우 판매,055-860-3908,http://tour.namhae.go.kr/main.web,경상남도 남해군 남해읍 남해대로 2745,경상남도 남해군 남해읍 남변리 555,,
제21회 의정부음악극축제,-,의정부예술의전당 외,2022-06-10,2022-06-18,음악극 공연+ 체험 및 전시행사,031-850-5143,http://www.uac.or.kr,경기도 의정부시 의정로 1,경기도 의정부시 의정부동 323,37.733386,127.034128
2022 제주 요가 페스티벌,-,제주시민복지타운 야외잔디광장,2022-06-11,2022-06-11,2022년 8월 유엔 세계요가의 날을 기념하여 전쟁으로 고통받고 있는 우크라이나를 돕기 위한 요그프로젝트를 평화의 섬 제주에서 개최합니다.,,,제주특별자치도 제주시 연삼로 286,,,
제11회 서귀포 봄맞이축제,-,이중섭공원,2022-06-11,2022-06-11,원도심 노지문화 마을산책. 진달래꽃 화전놀이 체험 등,,http://nojiculture.kr,제주특별자치도 서귀포시 이중섭로 27-3,,33.24585989,126.5648742
봉래산발복기원제,-,봉래산 헬기장,2022-06-11,2022-06-11,개회식+기원제+길놀이+의식공연+음복례 등,051-419-5722,http://www.yeongdo.go.kr/main.web,부산광역시 영도구 벚꽃길 1,부산광역시 영도구 청학동 산54-4,35.08646003,129.0590783
제22회 명창박록주 전국국악대전,-,구미시,2022-06-11,2022-06-12,국악경연대회,054-457-8365,http://www.parkrokju.org/,경상북도 구미시 고아읍 관심길 65,경상북도 구미시 고아읍 관심리 478,,
부산원도심골목길축제,-,중구+ 서구+ 동구+ 영도구,2022-06-11,2022-06-12,4개구 테마별 걷기 프로그램 등,051-888-5221,http://www.bfo.or.kr/main/index.asp,부산광역시 중구 중구로 120(대청동1가),부산광역시 중구 대청동1가 1-4,35.10619736,129.0323514
치악산왕발걸음축제,-,치악산 둘레길3코스,2022-06-11,2022-06-11,치악산 걷기 등,033-734-5966,,강원도 원주시 소초면 평장동길 86-16,강원도 원주시 소초면 평장리 823-7,37.41863773,128.0031734
2022 세계지질공원 수월봉 트레일,-,수월봉 및 차귀도,2022-06-13,2022-05-08,수월봉엉알길 코스 해설사 동행 탐방 프로그램. 지오 액티비티 차귀도유람선 탐방 트레일 이벤트 등,064-750-2291,https://www.instagram.com/trailgaza,제주특별자치도 제주시 한경면 노을해안로 1145,,,
거제 옥포대첩 축제,-,옥포대첩기념공원+옥포동 일원,2022-06-14,2022-06-15,옥포대첩축제로 명칭 변경+임진왜란 첫 승전인 옥포대첩을 기념하는 행사로 기념식을 비롯하여 문화예술/ 민속/ 이벤트행사 등이 다양하게 진행되며 시민 참여마당 및 볼거리 제공,055-639-3393,,경상남도 거제시 팔랑포2길 87,경상남도 거제시 옥포동 산 1-1,34.902198,128.714059
상화문학제,-,수성못 상화동산+수성문화원,2022-06-17,2022-06-19,백일장 공모+시낭송대회+문학강연+문학공연+상화문학답사,053-768-0002,http://www.suseong.or.kr,대구광역시 수성구 들안로16길 78,대구광역시 수성구 두산동 30,35.839227,128.618141
윤봉길평화축제,-,예산군 덕산면 충의사,2022-06-17,2022-06-19,윤봉길의사의 상해의거 90주년 기념행사+ 전시·체험행사+ 온라인이벤트,041-339-7317,http://www.ybgfestival.net/,,충청남도 예산군 덕산면 시량리 산40-1,,
두모포 페스티벌,-,옥수역 한강공원,2022-06-18,2022-06-18,두모포의 과거 역사적 사실을 바탕으로 희망의 메시지를 전달하는 축제 개최,02-2204-7558,www.sdfac.or.kr,,서울특별시 성동구 옥수동 490-2,37.54061648,127.0183982
제23회 용전들노래 정기공연,-,용전동 용전마을 일원,2022-06-18,2022-06-18,용전들노래재현+ 체험마당+ 공연 등(2020년 일정 미정),062-410-8369,https://bukgu.gwangju.kr/board.es?mid=a10201110000&bid=0315,광주광역시 북구 용전마을길 42(용전동),광주광역시 북구 용전동 171-3,35.23893658,126.8973084
제26회 제주국제관광마라톤축제,-,구좌종합운동장,2022-06-19,2022-06-19,해안도로를 따라 HALF / 10km / 5km 걷기 코스 운영,064-741-8772,https://jejumarathon.com/,제주특별자치도 제주시 구좌읍 김녕로 209,,,
섬 수국 축제,-,도초도,2022-06-23,2022-07-03,다채로운 수국꽃 관람 및 전시+체험 프로그램,,https://tour.shinan.go.kr/,,전라남도 신안군 도초면 지남리 970,,
마토예술제<물이랑 놀자>,-,안정리예술인광장 일대,2022-06-25,2022-06-25,물총놀이+공연+체험,031-692-9110,https://www.pccf.or.kr/,경기도 평택시 팽성읍 안정쇼핑로11,경기도 평택시 팽성읍 안정리113-1,36.95955991,127.0439994
팔봉산 감자축제,-,팔봉면 양길리 주차장,2022-06-25,2022-06-26,감자캐기 체험+판매,041-660-3937,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 팔봉면 팔봉산로 100,충청남도 서산시 팔봉면 양길리 820,,
회당문화축제,-,울릉군 도동항,2022-06-27,2022-06-29,회당문화축제,054-790-6426,http://www.ulleung.go.kr/tour/page.htm?mnu_uid=1992&,울릉군 울릉읍 도동1길 5-42,,37.4819992,130.9082172
제7회 순천미식대첩,-,미정,2022-07-01,2022-07-31,테마별 순천대표맛집 선정,061-749-4833,,전라남도 순천시 장명로 30,,,
몽미락 거리 축제,-,몽미락거리,2022-07-01,2022-07-31,주민제안 공모사업과 연계한 몽미락거리 축제,061-749-3472,,전라남도 순천시 중앙4길 6-1,,,
청년거리문화축제,-,여수시 일원,2022-07-01,2022-12-31,거리공연+프리마켓 등,061-659-4742,,전라남도 여수시 시청동1길 23,전라남도 여수시 학동 174,34.75870818,127.6636144
치악산찰옥수수축제,-,문막체육공원,2022-07-01,2022-07-31,지역 옥수수 판매 등,033-737-1164,,,강원도 원주시 문막읍 문막리 329-45,37.30871547,127.8115249
2022 문화의거리 현대미술제,-,울산 중구 문화의거리,2022-07-02,2022-07-10,갤러리+거리 미술작품 전시,052-290-3666,,울산광역시 중구 옥교동 277-1,울산광역시 중구 옥교동 277-1,,
제26회 부천국제판타스틱영화제,-,부천시청 일원,2022-07-07,2022-07-17,개폐막식+영화상영+문화행사 등,032-327-6313,http://www.bifan.kr,경기도 부천시 길주로 210,경기도 부천시 중동 1156,37.50358247,126.765337
원추리축제,-,홍도,2022-07-08,2022-07-17,문예공원+원추리꽃 사진촬영대회+자산어보 영화상영,,https://tour.shinan.go.kr/,전라남도 신안군 흑산면 홍도1길 21-5,,,
섬 크로코스미아 꽃축제,-,1004섬 분재공원 일원,2022-07-08,2022-07-24,예술공원+크로코스미아 꽃 관람 및 체험,,https://tour.shinan.go.kr/,전라남도 신안군 압해읍 무지개길 330,,,
제22회 밀양공연예술축제,-,밀양아리랑아트센터 밀양아리나,2022-07-08,2022-07-29,연극축제,,www.theatervillage.co.kr,경상남도 밀양시 부북면 창밀로 3097-16,,35.53347627,128.7046157
제40회 대한민국연극제,-,밀양아리랑아트센터 밀양아리나,2022-07-08,2022-07-30,연극축제,,http://ktf365.org/,경상남도 밀양시 부북면 창밀로 3097-16,,35.53347627,128.7046157
남부면 수국축제,-,매물도 여객선 주차장,2022-07-09,2022-07-10,남부면에서 20여년 동안 가꾸어 온 아름다운 수국꽃을 시민 및 관광객들에게 선물을 선사하다,055-639-6531,,경상남도 거제시 남부면 남부해안로 30,경상남도 거제시 남부면 저구리 70,34.732251,128.610123
설봉산별빛축제,-,설봉공원야외대공연장,2022-07-09,2022-08-06,대중예술공연(총5회공연),031-634-7300,http://www.2000art.or.kr,경기도 이천시 경충대로2697번길 304,경기도 이천시 관고동 393-1,37.27792699,127.425921
청소년 종합예술제 끼자랑꿈자랑 경연대회,-,의정부시청소년수련관,2022-07-13,2022-07-15,4개부문 18개종목 경연대회 운영,031-828-9542,http://www.uiyouth.or.kr,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
부여서동연꽃축제,-,서동공원,2022-07-14,2022-07-17,경관조성+공연·경연·체험 등,041-830-2207,http://lotusfestival.kr/,,충청남도 부여군 부여읍 동남리 115-6,36.269749,126.9141422
금산삼계탕축제,-,금산인삼관 광장 일원,2022-07-15,2022-07-17,ㅇ삼계탕 사연 공모+먹방 콘테스트+라이브 커머스+쉐프 요리쇼+삼계탕 요리경연대회+대형 가마솥 요리 시연+가족 단위 물놀이 행사 등,041-750-4147,http://www.insamfestival.co.kr/,충청남도 금산군 금산읍 인삼광장로 30,충청남도 금산군 금산읍 신대리 392,36.1000256,127.5007304
도시농업 어울림 한마당,-,신대도시텃밭,2022-07-16,2022-07-16,도시농업 체험행사+ 부스 운영 등,061-749-8684,,전라남도 순천시 해룡면 매안로 162,,,
제25회 보령머드축제,-,충청남도 보령시 대천해수욕장 일원,2022-07-16,2022-08-15,보령해양머드박람회 연계 프로그램 40여종,041-930-0891,http://www.mudfestival.or.kr,충청남도 보령시 대해로 897-15,충청남도 보령시 신흑동 2022,36.304497,126.517028
하동 섬진강재첩문화축제,-,하동읍 송림공원 및 섬진강변 일원,2022-07-22,2021-07-24,섬진강의 문화+ 하동재첩+ 축제를 결합한 종합 관광+ 산업 축제의 가능성을 제시한 대한민국 대표 여름축제로 매년 7월경 하동읍 송림공원과 섬진강에서 개최되는 축제이며+ 정부지정 유망축제이다,055-880-2051,https://www.hadong.go.kr/02641/02652/02812.web,경상남도 하동군 하동읍 섬진강대로 2107-8,,,
동강국제사진제,-,동강사진박물관,2022-07-22,2022-10-09,동강사진상+워크숍+사진예술전시,033-375-6353,http://www.ywcf.com/,강원도 영월군 영월읍 영월로 1909-10,강원도 영월군 영월읍 하송리 217-2,37.18193994,128.4615511
2022 순천만국가정원 정원야행(夜行),-,순천만국가정원 동원,2022-07-23,2022-08-08,나이트 런(Run)+ 정원영화제+ 휴식테마 비밀의 숲 등 힐링+ 문화+ 참여를 테마로 한 프로그램 운영,061-749-2728,,전라남도 순천시 국가정원1호길 47,,,
서창만드리 풍년제,-,서구 서창동 한옥문화관 일원,2022-07-25,2022-08-12,의식행사+ 들노래 만드리 재현+ 문화예술공연+ 전통문화 체험부스 운영 등,062-350-4988,https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,광주광역시 서구 서창발산길 10(서창동),광주광역시 서구 서창동 424-1,35.1071746,126.8231387
영월동강뗏목축제,-,동강둔치 일원,2022-07-28,2022-07-30,전통뗏목시연+맨손송어잡기+래프팅,033-375-6353,http://www.ywcf.com/,,강원도 영월군 영월읍 하송리 61-11,37.17968547,128.4698463
태백 커플축제,-,통리 일원,2022-07-28,2022-07-29,문화공연+ 체험행사+ 스탬프 투어 등,033-550-2304,http://tbcf.or.kr/,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172
충주호수축제,-,충주탄금호국제조정경기장,2022-07-28,2022-07-31,수상레저+뮤직페스티벌+수상공연,043-851-7981,www.cjlake.kr,충청북도 충주시 중앙로 128,충청북도 충주시 성내동 215,36.97061868,127.9372208
제11회 산토끼와 따오기가 함께하는 창작동요제,-,창녕문화예술회관 대공연장,2022-07-29,2022-07-30,동요노래부르기 대회+창작동요제,,,경상남도 창녕군 창녕읍 우포2로 1189-25,경상남도 창녕군 교리 991,35.54473636,128.4902051
바다로 세계로,-,구조라해수욕장 등,2022-07-29,2022-07-31,스포츠와 함께하는 여름축제로 매년 7월말에서 8월초순 경에 개최되는 한려수도 해양축제로 천혜의 관광자원과 문화예술공연을 함께 즐길 수 있는 전국 최대규모의 해양축제,055-639-4163,,경상남도 거제시 일운면 거제대로 2056,경상남도 거제시 일운면 구조라리 502,34.80794905,128.6922053
여수거북선축제,-,이순신광장 및 선소일원,2022-07-29,2022-07-31,통제영길놀이+개막행사+각종체험공연행사,061-659-4743,www.jinnamje.com,전라남도 여수시 이순신광장로 95,전라남도 여수시 중앙동 385-6번지 등,34.73922445,127.7365808
해변가요제,-,울릉군 저동항,2022-07-29,2022-07-30,해변가요제,054-790-6426,http://www.ulleung.go.kr/tour/page.htm?mnu_uid=1991&,울릉군 울릉읍 저동리,,37.4955239,130.9097003
송호해변여름축제,-,송호해수욕장,2022-07-29,2022-07-31,축하공연+버스킹+수상레저체험+체험프로그램 등,061-530-5158,www.haenam.go.kr,전라남도 해남군 송지면 땅끝해안로 1813,전라남도 해남군 송지면 송호리 914-5,34.3157139,126.5189509
김천국제가족연극제,-,김천문화예술회관,2022-07-29,2022-08-07,연극공연,054-439-8245,www.gitf.co.kr,경상북도 김천시 운동장길 3 김천문화예술회관,,36.13824055,128.088634
삼길포우럭축제,-,대산읍 화곡리 삼길포항,2022-07-29,2022-07-31,우럭체험 및 전시+판매,041-660-2069,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 대산읍 삼길포1로 65,,,
양평물축제,-,옥천레포츠공원,2022-07-29,2022-07-31,양평 물축제는 옥천면 사탄천 일대에서 가족과 함께 시원한 여름을 즐기는 축제,031-770-3155,https://okcheonwater.modoo.at/,경기도 양평군 옥천면 옥천체육공원길 66,경기도 양평군 옥천면 옥천리 767,37.52001447,127.4561346
한강 낙동강 발원지 축제,-,중앙로+ 황지연못 일원,2022-07-29,2022-08-13,퍼레이드+ 공연+ 체험행사+ 부스 운영 등,033-550-2304,http://tbcf.or.kr/,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172
순천명품 월등복숭아 체험행사,-,월등면 일원(복숭아 재배농가),2022-07-30,2022-08-07,복숭아 따기 체험 및 복숭아 판매 등,061-749-8089,,전라남도 순천시 월등면 월등로 571,,,
봉화은어축제,-,봉화읍 내성천 일원,2022-07-30,2022-08-07,은어반두잡이+맨손잡이 체험 등,054-674-3053,https://bhftf.co.kr:8091/,,경북 봉화군 봉화읍 내성리 506,36.8888791,128.7378251
제15회_정남진_장흥_물축제,-,탐진강+편백숲우드랜드,2022-07-30,2022-08-07,살수대첩+지상최대의물싸움+황금물고기를잡아라+수중줄다리기+워터락풀파티+별밤수다쟁이+지상최대의워터붐,061-860-5771,https://www.jangheung.go.kr/festival,,전라남도 장흥군 장흥읍 건산리 805,,
부산바다축제,-,부산전역,2022-07-30,2022-08-06,(계획미확정)100여개의 공간에서 펼쳐지는 다양한 문화콘텐츠,051-888-5224,http://www.bfo.or.kr/main/index.asp,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,35.17992893,129.0750915
제14회 진안고원 수박축제,-,동향면 체련공원 일원,2022-07-30,2022-07-31,수박판매 외,063-430-2393,https://jinan.go.kr/tour/sub_2/?p=1&n=4,전라북도 진안군 동향면 진성로 1687,전라북도 진안군 동향면 능금리 2198-2,35.84147374,127.5747111
2022 김포 아라마린페스티벌,-,아라마리나 일원,2022-07-30,2022-07-31,SUP대회+ 워터콘서트+ 수상레저체험행사 등,031-999-7833,aramarinefestival.com,경기도 김포시 고촌읍 아라육로270번길 73,경기도 김포시 고촌읍 전호리 774,37.599296,126.7891571
합천바캉스축제,-,정양레포츠공원,2022-07-30,2022-08-07,전국에서 가장 HOT한 합천에서 가족과 함께하는 바캉스,055-930-4666,https://www.hcvacance.co.kr/,경상남도 합천군 대양면 동부로 39-19,경상남도 합천군 대양면 정양리 613-2,35.5573152,128.1675442
청소년이 빛나는 밤,-,의정부시 천보문화공원,2022-07-30,2022-07-30,청소년 버스킹+ 소통이벤트+ 친환경음료부스,031-828-9585,http://www.uiyouth.or.kr,경기도 의정부시 새말로 38,경기도 의정부시 금오동 469-1,37.75107491,127.0643941
2022 정원예술제,-,순천만국가정원+남문터 광장 일원 등,2022-08-01,2022-08-31,공연+ 전시+ 체험행사 등,061-749-6802,,전라남도 순천시 국가정원1호길 47,,,
보물섬 갈화 왕새우축제,-,고현면 갈화항,2022-08-01,2022-08-31,왕새우 맨손잡이 체험+ 왕새우 판매 등,055-860-8603,http://tour.namhae.go.kr/main.web,경상남도 남해군 고현면 남서대로2979번길 20,경상남도 남해군 고현면 갈화리 1733-1,,
치악산복숭아축제,-,댄싱공연장 일원,2022-08-01,2022-08-31,지역 복숭아 판매 등,033-737-4131,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.33642953,127.9462614
백아산 철쭉제,-,백아산 약수터 앞 재단+아산복지회관 잔디광장 일원,2022-08-01,2022-11-01,육이오 희생자 위령제+백아산 철쭉제,061-379-5107,,전라남도 화순군 백아면 학천길 20,전라남도 화순군 백아면 이천리 52,35.16777359,127.1339121
화순운주문화축제,-,도암면 운주사 일원,2022-08-01,2022-11-01,그림그리기 대회+청소년 댄스 경연+마을밴드 공연+선사음악회+사진전+민속놀이 체험,061-379-5082,,전라남도 화순군 도암면 천태로 91-20,전라남도 화순군 도암면 용강리 110,34.91804535,126.8776541
화순고인돌문화축제,-,고인돌 유적지 일원,2022-08-01,2022-11-01,식전공연+고인돌이야기재현+솟대세우기+사진전+민속놀이+체육대회,061-379-5070,,전라남도 화순군 도곡면 고인돌1로 186-50,전라남도 화순군 도곡면 효산리 64,34.98559855,126.9185943
보성전어축제_예정,-,율포해수욕장 일원,2022-08-01,2022-08-31,지역 농특산물 판매 및 체험 전시행사,,,전라남도 보성군 회천면 우암길 24,,,
현인가요제,-,송도해수욕장,2022-08-04,2022-08-07,개막행사+ 현인가요제 전야제+ 현인가요제 본선,02-2655-3157,http://culture.bsseogu.go.kr,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502
제12회 평택록페스티벌&전국밴드경연대회,-,이충분수공원 야외공연장,2022-08-05,2022-08-06,공연+경연대회,031-8053-3542,http://ptrockfestival.com/,경기도 평택시 이충동 276-5,경기도 평택시 이충동 276-5,37.06618464,127.068326
인천펜타포트 음악축제,-,송도달빛축제공원,2022-08-05,2022-08-07,국내·외 아티스트 콘서트,,https://pentaport.co.kr/,인천광역시 연수구 센트럴로 350,,,
